Date    ,Teams                                                       ,Score         ,Map        ,Event                                                                ,Series
8-1-19  ,"['AGO', 'NeverPlay']"                                      ,"['16', '10']",Inferno    ,Hunt Wave League                                                     ,10710
8-1-19  ,"['expert', '3DMAX']"                                       ,"['16', '10']",Inferno    ,United Masters League                                                ,10709
8-1-19  ,"['3DMAX', 'expert']"                                       ,"['16', '3']" ,Cache      ,United Masters League                                                ,10709
8-1-19  ,"['x-kom', 'Chaos']"                                        ,"['11', '16']",Inferno    ,Hunt Wave League                                                     ,10708
8-1-19  ,"['Valiance', 'Arena Bulls']"                               ,"['16', '3']" ,Inferno    ,ESEA MDL Season 29 Europe Relegation                                 ,10707
8-1-19  ,"['Arena Bulls', 'Valiance']"                               ,"['5', '16']" ,Nuke       ,ESEA MDL Season 29 Europe Relegation                                 ,10707
8-1-19  ,"['PACT', 'forZe']"                                         ,"['7', '16']" ,Mirage     ,ESEA MDL Season 29 Europe Relegation                                 ,10706
8-1-19  ,"['forZe', 'PACT']"                                         ,"['16', '9']" ,Overpass   ,ESEA MDL Season 29 Europe Relegation                                 ,10706
8-1-19  ,"['Smoke Criminals', 'Vitality']"                           ,"['14', '16']",Inferno    ,ESEA MDL Season 29 Europe Relegation                                 ,10705
8-1-19  ,"['Vitality', 'Smoke Criminals']"                           ,"['16', '7']" ,Mirage     ,ESEA MDL Season 29 Europe Relegation                                 ,10705
8-1-19  ,"['Spirit', 'Bpro']"                                        ,"['16', '11']",Inferno    ,ESEA MDL Season 29 Europe Relegation                                 ,10704
8-1-19  ,"['Bpro', 'Spirit']"                                        ,"['10', '16']",Cache      ,ESEA MDL Season 29 Europe Relegation                                 ,10704
8-1-19  ,"['Flow', 'Endpoint']"                                      ,"['11', '16']",Mirage     ,ESEA MDL Season 29 Europe Relegation                                 ,10703
8-1-19  ,"['Endpoint', 'Flow']"                                      ,"['10', '16']",Inferno    ,ESEA MDL Season 29 Europe Relegation                                 ,10703
8-1-19  ,"['Endpoint', 'Flow']"                                      ,"['16', '12']",Dust2      ,ESEA MDL Season 29 Europe Relegation                                 ,10703
8-1-19  ,"['Tricked', 'Izako Boars']"                                ,"['6', '16']" ,Dust2      ,ESEA MDL Season 29 Europe Relegation                                 ,10702
8-1-19  ,"['Izako Boars', 'Tricked']"                                ,"['17', '19']",Train      ,ESEA MDL Season 29 Europe Relegation                                 ,10702
8-1-19  ,"['Tricked', 'Izako Boars']"                                ,"['9', '16']" ,Cache      ,ESEA MDL Season 29 Europe Relegation                                 ,10702
8-1-19  ,"['EURONICS', 'unknown']"                                   ,"['19', '17']",Nuke       ,ESEA MDL Season 29 Europe Relegation                                 ,10701
8-1-19  ,"['unknown', 'EURONICS']"                                   ,"['22', '18']",Inferno    ,ESEA MDL Season 29 Europe Relegation                                 ,10701
8-1-19  ,"['unknown', 'EURONICS']"                                   ,"['14', '16']",Overpass   ,ESEA MDL Season 29 Europe Relegation                                 ,10701
8-1-19  ,"['x6tence Galaxy', 'HAVU']"                                ,"['5', '16']" ,Dust2      ,ESEA MDL Season 29 Europe Relegation                                 ,10700
8-1-19  ,"['HAVU', 'x6tence Galaxy']"                                ,"['13', '16']",Inferno    ,ESEA MDL Season 29 Europe Relegation                                 ,10700
8-1-19  ,"['x6tence Galaxy', 'HAVU']"                                ,"['16', '5']" ,Nuke       ,ESEA MDL Season 29 Europe Relegation                                 ,10700
8-1-19  ,"['AGO', 'ALTERNATE aTTaX']"                                ,"['16', '6']" ,Overpass   ,United Masters League                                                ,10699
8-1-19  ,"['ALTERNATE aTTaX', 'AGO']"                                ,"['16', '3']" ,Inferno    ,United Masters League                                                ,10699
8-1-19  ,"['Valiance', 'Vitality']"                                  ,"['20', '22']",Inferno    ,ESEA MDL Season 29 Europe Relegation                                 ,10698
8-1-19  ,"['Vitality', 'Valiance']"                                  ,"['16', '11']",Mirage     ,ESEA MDL Season 29 Europe Relegation                                 ,10697
8-1-19  ,"['Smoke Criminals', 'Arena Bulls']"                        ,"['5', '16']" ,Inferno    ,ESEA MDL Season 29 Europe Relegation                                 ,10696
8-1-19  ,"['Arena Bulls', 'Smoke Criminals']"                        ,"['16', '11']",Nuke       ,ESEA MDL Season 29 Europe Relegation                                 ,10696
8-1-19  ,"['Spirit', 'x6tence Galaxy']"                              ,"['16', '10']",Overpass   ,ESEA MDL Season 29 Europe Relegation                                 ,10695
8-1-19  ,"['x6tence Galaxy', 'Spirit']"                              ,"['16', '14']",Cache      ,ESEA MDL Season 29 Europe Relegation                                 ,10695
8-1-19  ,"['Spirit', 'x6tence Galaxy']"                              ,"['16', '3']" ,Mirage     ,ESEA MDL Season 29 Europe Relegation                                 ,10695
8-1-19  ,"['HAVU', 'Bpro']"                                          ,"['16', '9']" ,Train      ,ESEA MDL Season 29 Europe Relegation                                 ,10694
8-1-19  ,"['Bpro', 'HAVU']"                                          ,"['4', '16']" ,Dust2      ,ESEA MDL Season 29 Europe Relegation                                 ,10694
8-1-19  ,"['Tricked', 'PACT']"                                       ,"['19', '17']",Cache      ,ESEA MDL Season 29 Europe Relegation                                 ,10693
8-1-19  ,"['PACT', 'Tricked']"                                       ,"['9', '16']" ,Inferno    ,ESEA MDL Season 29 Europe Relegation                                 ,10693
8-1-19  ,"['forZe', 'Izako Boars']"                                  ,"['5', '16']" ,Dust2      ,ESEA MDL Season 29 Europe Relegation                                 ,10692
8-1-19  ,"['Izako Boars', 'forZe']"                                  ,"['2', '16']" ,Mirage     ,ESEA MDL Season 29 Europe Relegation                                 ,10692
8-1-19  ,"['forZe', 'Izako Boars']"                                  ,"['16', '5']" ,Inferno    ,ESEA MDL Season 29 Europe Relegation                                 ,10692
8-1-19  ,"['EURONICS', 'Endpoint']"                                  ,"['19', '17']",Overpass   ,ESEA MDL Season 29 Europe Relegation                                 ,10691
8-1-19  ,"['Endpoint', 'EURONICS']"                                  ,"['2', '16']" ,Dust2      ,ESEA MDL Season 29 Europe Relegation                                 ,10691
8-1-19  ,"['Flow', 'unknown']"                                       ,"['13', '16']",Train      ,ESEA MDL Season 29 Europe Relegation                                 ,10690
8-1-19  ,"['unknown', 'Flow']"                                       ,"['16', '13']",Cache      ,ESEA MDL Season 29 Europe Relegation                                 ,10690
9-1-19  ,"['3DMAX', 'SJ']"                                           ,"['16', '6']" ,Inferno    ,Hunt Wave League                                                     ,10689
9-1-19  ,"['3DMAX', 'Vega Squadron']"                                ,"['16', '3']" ,Mirage     ,Hunt Wave League                                                     ,10688
9-1-19  ,"['Vega Squadron', '3DMAX']"                                ,"['6', '16']" ,Inferno    ,Hunt Wave League                                                     ,10688
9-1-19  ,"['SJ', 'ViCi']"                                            ,"['16', '8']" ,Overpass   ,Hunt Wave League                                                     ,10687
9-1-19  ,"['ViCi', 'SJ']"                                            ,"['10', '16']",Train      ,Hunt Wave League                                                     ,10687
9-1-19  ,"['Valiance', 'Tricked']"                                   ,"['16', '10']",Overpass   ,ESEA MDL Season 29 Europe Relegation                                 ,10686
9-1-19  ,"['Tricked', 'Valiance']"                                   ,"['4', '16']" ,Cache      ,ESEA MDL Season 29 Europe Relegation                                 ,10686
9-1-19  ,"['Arena Bulls', 'Izako Boars']"                            ,"['14', '16']",Cache      ,ESEA MDL Season 29 Europe Relegation                                 ,10685
9-1-19  ,"['Arena Bulls', 'Izako Boars']"                            ,"['16', '8']" ,Overpass   ,ESEA MDL Season 29 Europe Relegation                                 ,10685
9-1-19  ,"['Izako Boars', 'Arena Bulls']"                            ,"['16', '11']",Mirage     ,ESEA MDL Season 29 Europe Relegation                                 ,10685
9-1-19  ,"['HAVU', 'Endpoint']"                                      ,"['16', '7']" ,Mirage     ,ESEA MDL Season 29 Europe Relegation                                 ,10684
9-1-19  ,"['Endpoint', 'HAVU']"                                      ,"['16', '7']" ,Dust2      ,ESEA MDL Season 29 Europe Relegation                                 ,10684
9-1-19  ,"['Endpoint', 'HAVU']"                                      ,"['16', '5']" ,Cache      ,ESEA MDL Season 29 Europe Relegation                                 ,10684
9-1-19  ,"['x6tence Galaxy', 'unknown']"                             ,"['16', '3']" ,Cache      ,ESEA MDL Season 29 Europe Relegation                                 ,10683
9-1-19  ,"['unknown', 'x6tence Galaxy']"                             ,"['7', '16']" ,Overpass   ,ESEA MDL Season 29 Europe Relegation                                 ,10683
9-1-19  ,"['Valiance', 'x6tence Galaxy']"                            ,"['5', '16']" ,Inferno    ,ESEA MDL Season 29 Europe Relegation                                 ,10682
9-1-19  ,"['x6tence Galaxy', 'Valiance']"                            ,"['15', '19']",Dust2      ,ESEA MDL Season 29 Europe Relegation                                 ,10682
9-1-19  ,"['Valiance', 'x6tence Galaxy']"                            ,"['16', '3']" ,Mirage     ,ESEA MDL Season 29 Europe Relegation                                 ,10682
9-1-19  ,"['Endpoint', 'Izako Boars']"                               ,"['16', '10']",Dust2      ,ESEA MDL Season 29 Europe Relegation                                 ,10681
9-1-19  ,"['Izako Boars', 'Endpoint']"                               ,"['16', '12']",Overpass   ,ESEA MDL Season 29 Europe Relegation                                 ,10681
9-1-19  ,"['Izako Boars', 'Endpoint']"                               ,"['16', '6']" ,Mirage     ,ESEA MDL Season 29 Europe Relegation                                 ,10681
10-1-19 ,"['Chaos', 'AGO']"                                          ,"['16', '8']" ,Overpass   ,Hunt Wave League                                                     ,10680
10-1-19 ,"['Chaos', 'AGO']"                                          ,"['16', '14']",Cache      ,Hunt Wave League                                                     ,10680
10-1-19 ,"['Vexed', 'x6tence Galaxy']"                               ,"['11', '16']",Inferno    ,United Masters League                                                ,10679
10-1-19 ,"['x6tence Galaxy', 'Vexed']"                               ,"['16', '13']",Overpass   ,United Masters League                                                ,10679
10-1-19 ,"['NeverPlay', 'x-kom']"                                    ,"['3', '16']" ,Mirage     ,Hunt Wave League                                                     ,10678
10-1-19 ,"['x-kom', 'NeverPlay']"                                    ,"['6', '16']" ,Inferno    ,Hunt Wave League                                                     ,10678
10-1-19 ,"['NeverPlay', 'x-kom']"                                    ,"['19', '16']",Overpass   ,Hunt Wave League                                                     ,10678
10-1-19 ,"['Valiance', 'EURONICS']"                                  ,"['16', '1']" ,Mirage     ,United Masters League                                                ,10677
10-1-19 ,"['EURONICS', 'Valiance']"                                  ,"['5', '16']" ,Nuke       ,United Masters League                                                ,10677
10-1-19 ,"['Chaos', 'Flow']"                                         ,"['6', '16']" ,Inferno    ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10676
10-1-19 ,"['Flow', 'Chaos']"                                         ,"['11', '16']",Dust2      ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10676
10-1-19 ,"['Flow', 'Chaos']"                                         ,"['16', '7']" ,Train      ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10676
10-1-19 ,"['BULGI', 'Atlando']"                                      ,"['9', '16']" ,Cache      ,Geeks Gone Wild 24 Europe Qualifier                                  ,10675
10-1-19 ,"['Atlando', 'BULGI']"                                      ,"['25', '22']",Overpass   ,Geeks Gone Wild 24 Europe Qualifier                                  ,10675
10-1-19 ,"['x-kom', 'lotb']"                                         ,"['16', '14']",Mirage     ,Geeks Gone Wild 24 Europe Qualifier                                  ,10674
10-1-19 ,"['lotb', 'x-kom']"                                         ,"['12', '16']",Inferno    ,Geeks Gone Wild 24 Europe Qualifier                                  ,10674
10-1-19 ,"['Vexed', 'expert']"                                       ,"['16', '2']" ,Train      ,United Masters League                                                ,10673
10-1-19 ,"['expert', 'Vexed']"                                       ,"['16', '5']" ,Inferno    ,United Masters League                                                ,10673
11-1-19 ,"['SJ', 'Vega Squadron']"                                   ,"['16', '13']",Train      ,Hunt Wave League                                                     ,10672
11-1-19 ,"['Vega Squadron', 'SJ']"                                   ,"['16', '10']",Overpass   ,Hunt Wave League                                                     ,10672
11-1-19 ,"['Vega Squadron', 'SJ']"                                   ,"['9', '16']" ,Inferno    ,Hunt Wave League                                                     ,10672
11-1-19 ,"['Valiance', 'HAVU']"                                      ,"['19', '17']",Dust2      ,United Masters League                                                ,10671
11-1-19 ,"['HAVU', 'Valiance']"                                      ,"['16', '10']",Cache      ,United Masters League                                                ,10671
11-1-19 ,"['AGO', 'NeverPlay']"                                      ,"['8', '16']" ,Inferno    ,Hunt Wave League                                                     ,10670
11-1-19 ,"['NeverPlay', 'AGO']"                                      ,"['2', '16']" ,Mirage     ,Hunt Wave League                                                     ,10670
11-1-19 ,"['AGO', 'NeverPlay']"                                      ,"['16', '13']",Overpass   ,Hunt Wave League                                                     ,10670
11-1-19 ,"['3DMAX', 'x6tence Galaxy']"                               ,"['16', '7']" ,Inferno    ,United Masters League                                                ,10669
11-1-19 ,"['x6tence Galaxy', '3DMAX']"                               ,"['13', '16']",Mirage     ,United Masters League                                                ,10669
11-1-19 ,"['Flow', 'cats']"                                          ,"['16', '12']",Cache      ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10668
11-1-19 ,"['cats', 'Flow']"                                          ,"['16', '11']",Inferno    ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10668
11-1-19 ,"['Flow', 'cats']"                                          ,"['13', '16']",Train      ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10668
11-1-19 ,"['Vexed', 'Red Reserve']"                                  ,"['8', '16']" ,Cache      ,United Masters League                                                ,10667
11-1-19 ,"['Red Reserve', 'Vexed']"                                  ,"['9', '16']" ,Mirage     ,United Masters League                                                ,10667
11-1-19 ,"['EURONICS', 'HAVU']"                                      ,"['11', '16']",Nuke       ,United Masters League                                                ,10666
11-1-19 ,"['HAVU', 'EURONICS']"                                      ,"['16', '11']",Mirage     ,United Masters League                                                ,10666
12-1-19 ,"['AGO', '3DMAX']"                                          ,"['12', '16']",Inferno    ,Hunt Wave League                                                     ,10665
12-1-19 ,"['3DMAX', 'AGO']"                                          ,"['16', '13']",Overpass   ,Hunt Wave League                                                     ,10665
12-1-19 ,"['Chaos', 'SJ']"                                           ,"['16', '11']",Train      ,Hunt Wave League                                                     ,10664
12-1-19 ,"['SJ', 'Chaos']"                                           ,"['6', '16']" ,Overpass   ,Hunt Wave League                                                     ,10664
12-1-19 ,"['NoChance', 'Copenhagen Flames']"                         ,"['19', '16']",Overpass   ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10663
12-1-19 ,"['Copenhagen Flames', 'NoChance']"                         ,"['8', '16']" ,Dust2      ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10663
13-1-19 ,"['Chaos', '3DMAX']"                                        ,"['12', '16']",Inferno    ,Hunt Wave League                                                     ,10662
13-1-19 ,"['3DMAX', 'Chaos']"                                        ,"['6', '16']" ,Overpass   ,Hunt Wave League                                                     ,10662
13-1-19 ,"['Chaos', '3DMAX']"                                        ,"['6', '16']" ,Mirage     ,Hunt Wave League                                                     ,10662
13-1-19 ,"['x-kom', 'Universe']"                                     ,"['19', '17']",Nuke       ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10661
13-1-19 ,"['Universe', 'x-kom']"                                     ,"['11', '16']",Inferno    ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10661
13-1-19 ,"['Copenhagen Flames', 'Defusekids']"                       ,"['16', '12']",Mirage     ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10660
13-1-19 ,"['Copenhagen Flames', 'Defusekids']"                       ,"['16', '3']" ,Nuke       ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10660
13-1-19 ,"['ALTERNATE aTTaX', 'Dragons']"                            ,"['14', '16']",Train      ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10659
13-1-19 ,"['ALTERNATE aTTaX', 'Dragons']"                            ,"['16', '8']" ,Cache      ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10659
13-1-19 ,"['Dragons', 'ALTERNATE aTTaX']"                            ,"['7', '16']" ,Inferno    ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10659
13-1-19 ,"['NoChance', 'PEEKERS']"                                   ,"['19', '17']",Dust2      ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10658
13-1-19 ,"['NoChance', 'PEEKERS']"                                   ,"['11', '16']",Mirage     ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10658
13-1-19 ,"['PEEKERS', 'NoChance']"                                   ,"['13', '16']",Inferno    ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10658
13-1-19 ,"['Izako Boars', 'x-kom']"                                  ,"['16', '8']" ,Mirage     ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10657
13-1-19 ,"['x-kom', 'Izako Boars']"                                  ,"['16', '5']" ,Overpass   ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10657
13-1-19 ,"['x-kom', 'Izako Boars']"                                  ,"['16', '9']" ,Cache      ,Pixel.bet Brawl: Nordic vs. Europe                                   ,10657
13-1-19 ,"['Lilmix', 'Chaos']"                                       ,"['12', '16']",Overpass   ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10656
13-1-19 ,"['Chaos', 'Lilmix']"                                       ,"['16', '7']" ,Mirage     ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10656
13-1-19 ,"['ClaqueT', 'unknown']"                                    ,"['7', '16']" ,Nuke       ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10655
13-1-19 ,"['unknown', 'ClaqueT']"                                    ,"['16', '13']",Dust2      ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10655
13-1-19 ,"[""Jordan's Money Crew"", 'Lyngby Vikings']"               ,"['16', '13']",Train      ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10654
13-1-19 ,"[""Jordan's Money Crew"", 'Lyngby Vikings']"               ,"['16', '9']" ,Mirage     ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10653
13-1-19 ,"['expert', 'Akopalipsa']"                                  ,"['19', '15']",Cache      ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10652
13-1-19 ,"['Akopalipsa', 'expert']"                                  ,"['9', '16']" ,Train      ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10652
13-1-19 ,"['PELAFUSTANES', 'Rejected']"                              ,"['16', '14']",Mirage     ,SP Gaming Tournament #6 Finals                                       ,10651
13-1-19 ,"['Rejected', 'PELAFUSTANES']"                              ,"['4', '16']" ,Dust2      ,SP Gaming Tournament #6 Finals                                       ,10651
14-1-19 ,"['Tricked', 'Sprout']"                                     ,"['12', '16']",Dust2      ,United Masters League                                                ,10650
14-1-19 ,"['Sprout', 'Tricked']"                                     ,"['22', '19']",Inferno    ,United Masters League                                                ,10650
14-1-19 ,"['expert', 'unknown']"                                     ,"['13', '16']",Train      ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10649
14-1-19 ,"['expert', 'unknown']"                                     ,"['6', '16']" ,Cache      ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10649
14-1-19 ,"['Copenhagen Flames', 'ALTERNATE aTTaX']"                  ,"['16', '9']" ,Overpass   ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10648
14-1-19 ,"['ALTERNATE aTTaX', 'Copenhagen Flames']"                  ,"['22', '18']",Train      ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10648
14-1-19 ,"['ALTERNATE aTTaX', 'Copenhagen Flames']"                  ,"['16', '7']" ,Inferno    ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10648
14-1-19 ,"[""Jordan's Money Crew"", 'Chaos']"                        ,"['16', '14']",Overpass   ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10647
14-1-19 ,"['Chaos', ""Jordan's Money Crew""]"                        ,"['16', '13']",Cache      ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10647
14-1-19 ,"[""Jordan's Money Crew"", 'Chaos']"                        ,"['9', '16']" ,Inferno    ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10647
14-1-19 ,"['AGO', 'x6tence Galaxy']"                                 ,"['12', '16']",Overpass   ,United Masters League                                                ,10646
14-1-19 ,"['x6tence Galaxy', 'AGO']"                                 ,"['16', '9']" ,Mirage     ,United Masters League                                                ,10646
14-1-19 ,"['NoChance', 'x-kom']"                                     ,"['19', '16']",Inferno    ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10645
14-1-19 ,"['NoChance', 'x-kom']"                                     ,"['10', '16']",Cache      ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10645
14-1-19 ,"['NoChance', 'x-kom']"                                     ,"['16', '2']" ,Mirage     ,LOOT.BET HotShot Series Season 1 Europe Closed Qualifier             ,10645
14-1-19 ,"['Tricked', 'expert']"                                     ,"['16', '8']" ,Train      ,United Masters League                                                ,10644
14-1-19 ,"['expert', 'Tricked']"                                     ,"['9', '16']" ,Inferno    ,United Masters League                                                ,10644
14-1-19 ,"['Red Reserve', 'Sprout']"                                 ,"['7', '16']" ,Dust2      ,United Masters League                                                ,10643
14-1-19 ,"['Red Reserve', 'Sprout']"                                 ,"['10', '16']",Train      ,United Masters League                                                ,10643
14-1-19 ,"['DETONA', 'S2N']"                                         ,"['16', '2']" ,Dust2      ,Dell Gaming Liga Pro Season 1 - #1 JAN/19                            ,10642
14-1-19 ,"['S2N', 'DETONA']"                                         ,"['8', '16']" ,Cache      ,Dell Gaming Liga Pro Season 1 - #1 JAN/19                            ,10642
